id,public_id,description,level,parent_id
479,1603564,Tabletop Display Racks,3,31
480,1603565,Wall Display Racks,3,31
481,1603566,Panel Accessories,3,70
482,1603567,Panels,3,70
483,1603568,Room Dividers,3,70
484,1603569,Social Distancing Barriers,3,70
485,1603570,Active Seating,3,15
486,1603571,Big & Tall Chairs,3,15
487,1603572,Gaming Chairs,3,15
488,1603573,Guest Chairs,3,15
489,1603574,Office Chairs,3,15
490,1603575,Reception,3,15
491,1603576,Seating Accessories,3,15
492,1603577,Stools,3,15
493,1603578,Task Chairs,3,15
494,1603579,Bookcase,3,38
495,1603580,Display Cases,3,38
496,1603581,File & Storage Accessories,3,38
497,1603582,File Carts,3,38
498,1603583,Large Document Storage,3,38
499,1603585,Safes,3,38
500,1603586,Bases & Legs,3,39
501,1603587,Hospitality Tables,3,39
502,1603588,Multipurpose Tops,3,39
503,1603590,Pencil Boxes,3,71
504,1603591,Storage Pouches,3,71
505,1603592,Balloons,3,47
506,1603593,Letters & Numbers,3,47
507,1603594,Magnetic Shapes & Strips,3,47
508,1603595,Posters,3,47
509,1603596,Pretend Play,3,50
510,1603597,Digital Notepads,3,36
511,1603598,Educational Record Books,3,36
512,1603599,Learning Boards & Supplies,3,36
513,1603600,Pocket Charts & Accessories,3,36
514,1603602,Student Certificates / Awards,3,36
515,1603603,Teaching Calendars & Planners,3,36
516,1603604,Binding Machine Supplies,3,12
517,1603605,Digital Recorders & Accessories,3,12
518,1603606,Label Maker Supplies,3,12
519,1603607,Laminating Supplies,3,12
520,1603609,Computer / Laptop Accessories,3,10
521,1603610,Discs & Media,3,10
522,1603611,Keyboards & Mice,3,10
523,1603612,Memory & USB Drives,3,10
524,1603613,Monitor Arms & Stands,3,64
525,1603614,Networking & Wi-Fi Accessories,3,10
526,1603615,UPS Backup Systems,3,10
527,1603617,Batteries & Battery Chargers,3,8
528,1603618,Electronic Accessories,3,8
529,1603619,Electronics Cleaning Supplies,3,8
530,1603620,Phone Systems,3,8
531,1603621,TVs & Accessories,3,8
532,1603622,Printers & Multifunction Machines,3,22
533,1603623,Printing Supplies,3,22
534,1603624,Air Purifier Filters,3,9
535,1603625,Air Purifiers,3,9
536,1603626,Deodorizers,3,9
537,1603627,Disinfectants,3,51
538,1603628,Drain Cleaners,3,51
539,1603629,Glass Cleaners,3,51
540,1603630,Multipurpose Cleaners,3,51
541,1603631,Dish/Dishwasher Detergents,3,51
542,1603632,Restroom & Toilet Cleaners,3,51
543,1603633,Specialty Cleaners,3,51
544,1603634,Buckets & Wringers,3,17
545,1603635,Cleaning Pad Holders,3,17
546,1603636,Mops & Refills,3,17
547,1603637,Poles & Handles,3,17
548,1603638,"Sponges, Cleaning Pads & Wipers",3,17
549,1603639,Sprayer Dispensing & Accessories,3,17
550,1603640,Fans,3,24
551,1603641,Safety Signs,3,29
552,1603642,Floor/Carpet Cleaners & Protectors,3,72
553,1603643,Floor Mats,3,27
554,1603644,Floor Machines & Accessories,3,72
555,1603645,Spill Control & Absorbents,3,72
556,1603646,Vacuum Cleaners & Accessories,3,72
557,1603647,Cleaning/Utility Carts,3,73
558,1603648,Cleaning Tool Organizers,3,73
559,1603652,Paper Towel Dispensers,3,33
560,1603653,Feminine Hygiene Products,3,56
561,1603654,Pesticides,3,74
562,1603655,Repellents,3,74
563,1603656,Alert Chimes,3,29
564,1603657,Locks,3,29
565,1603659,Door Accessories,3,27
566,1603660,Utility Replacement Blades,3,27
